Year,Period,State,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,YEAR,MISSISSIPPI,NOXUBEE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"56,526",35.2
2017,YEAR,MISSISSIPPI,OKTIBBEHA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,WINSTON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HUMPHREYS,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"52,433",35.2
2017,YEAR,MISSISSIPPI,ISSAQUENA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"16,371",35.2
2017,YEAR,MISSISSIPPI,LEFLORE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"95,953",35.2
2017,YEAR,MISSISSIPPI,SHARKEY,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"31,173",35.2
2017,YEAR,MISSISSIPPI,SUNFLOWER,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"47,918",35.2
2017,YEAR,MISSISSIPPI,WASHINGTON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"46,728",35.2
2017,YEAR,MISSISSIPPI,YAZOO,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"64,304",35.2
2017,YEAR,MISSISSIPPI,BENTON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,CALHOUN,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"22,688",35.2
